-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |   Rel. |    Aki     | Acc. |       Ei           Ek       |     Lower level     |     Upper level     |Type|        TP  |       Line  |
    Wavelength    |    Wavelength    |   Int. |   (s^-1)   |      |     (cm-1)       (cm-1)     |---------------------|---------------------|    |       Ref. |       Ref.  |
     Air (nm)     |     Air (nm)     |        |            |      |                             | Conf.  | Term | J   | Conf.  | Term | J   |    |            |             |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        353.4856  |        353.4851  |      5 | 8.11e+05   | C    |  111637.33   -   139918.98  | 3p2    | 1S   | 0   | 3s.7p  | 1P*  | 1   |    |      T6533 |      L4575  |
        358.6557  |        358.6557  |    200 | 2.35e+08   | A    |   95549.42   -   123423.36  | 3s.3d  | 3D   | 3   | 3s.4f  | 3F*  | 4   |    | T6298c4,LS |      L3515  |
        358.6920  |        358.6931  |  75hfs | 2.62e+07   | B    |   95549.42   -   123420.45  | 3s.3d  | 3D   | 3   | 3s.4f  | 3F*  | 3   |    | T6298c4,LS |  L3515c150  |
        358.7068  |        358.7072  |    100 | 2.09e+08   | B+   |   95550.51   -   123420.45  | 3s.3d  | 3D   | 2   | 3s.4f  | 3F*  | 3   |    | T6298c4,LS |      L3515  |
        358.7185  |        358.7185  |  15hfs | 1.03e+06   | C    |   95549.42   -   123418.48  | 3s.3d  | 3D   | 3   | 3s.4f  | 3F*  | 2   |    | T6298c4,LS |  L3515c150  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        358.7330  |        358.7325  |  80hfs | 3.66e+07   | B    |   95550.51   -   123418.48  | 3s.3d  | 3D   | 2   | 3s.4f  | 3F*  | 2   |    | T6298c4,LS |  L3515c150  |
        358.7450  |        358.7445  |     70 | 1.97e+08   | B+   |   95551.44   -   123418.48  | 3s.3d  | 3D   | 1   | 3s.4f  | 3F*  | 2   |    | T6298c4,LS |      L4575  |
        364.9200  |        364.9204  |  15hfs | 1.26e+07   | C+   |  105427.52   -   132822.95  | 3s.4p  | 3P*  | 0   | 3s.5d  | 3D   | 1   |    | T6298c4,LS |  L3515c150  |
                  |        365.1067  |        | 9.45e+06   | C+   |  105441.50   -   132822.95  | 3s.4p  | 3P*  | 1   | 3s.5d  | 3D   | 1   |    | T6298c4,LS |             |
        365.1078  |        365.1087  |  70hfs | 1.70e+07   | C+   |  105441.50   -   132822.80  | 3s.4p  | 3P*  | 1   | 3s.5d  | 3D   | 2   |    | T6298c4,LS |  L3515c150  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        365.4991  |        365.5004  |  85hfs | 2.26e+07   | B    |  105470.93   -   132822.89  | 3s.4p  | 3P*  | 2   | 3s.5d  | 3D   | 3   |    | T6298c4,LS |  L3515c150  |
                  |        365.4996  |        | 6.28e+05   | C    |  105470.93   -   132822.95  | 3s.4p  | 3P*  | 2   | 3s.5d  | 3D   | 1   |    | T6298c4,LS |             |
